deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x]Mod,gCoord[y]Mod,gCoord[z]Mod,aAbsMod,altPressMod,altMaxMod,count,isOn
49104,0.044921875,-0.989746094,0.017089844,0.002332553,-0.015939117,0.001360656,0.999262175,0.14148666,-0.05614899,0,0
49111,0.047851563,-0.988769531,0.015136719,0.032850132,0.014578461,0.001360656,0.998384915,0.14148666,-0.05614899,0,0
49125,0.052734375,-0.98828125,0.022460938,0.032850132,-0.076974273,0.092913391,0.998283643,0.14148666,-0.05614899,0,0
49129,0.051757813,-0.990722656,0.0234375,0.002332553,-0.107491852,0.062395813,1.000712428,0.14148666,-0.05614899,0,0
49134,0.051757813,-0.990722656,0.022949219,0.032850132,-0.076974273,0.062395813,1.00070092,0.14148666,-0.05614899,0,0
49138,0.050292969,-0.990722656,0.022949219,0.032850132,-0.107491852,0.031878234,1.000624961,0.14148666,-0.05614899,0,0
49143,0.048339844,-0.9921875,0.01953125,-0.089220181,0.075613617,0.092913391,1.001928424,-0.01176499,-0.05614899,0,0
49149,0.04296875,-0.990234375,0.020507813,0.032850132,0.106131195,0.184466125,0.999732043,-0.01176499,-0.05614899,0,0
49154,0.041015625,-0.991699219,0.016601563,-0.028185025,0.075613617,0.153948547,1.001050596,-0.01176499,-0.05614899,0,0
49159,0.041992188,-0.991210938,0.012695313,-0.028185025,0.136648773,0.123430969,1.000541727,-0.01176499,-0.05614899,0,0
49164,0.042480469,-0.991210938,0.012207031,0.002332553,0.014578461,0.123430969,1.000556509,-0.01176499,-0.05614899,0,0
49168,0.043457031,-0.991210938,0.013671875,-0.028185025,-0.046456695,0.001360656,1.000618419,-0.01176499,-0.05614899,0,0
49173,0.044433594,-0.991210938,0.015625,0.002332553,-0.046456695,0.001360656,1.000691108,-0.01176499,-0.05614899,0,0
49185,0.049804688,-0.989746094,0.018554688,0.06336771,0.014578461,-0.029156922,0.999524062,-0.17294358,-0.05614899,0,0
49191,0.050292969,-0.987304688,0.016601563,-0.028185025,0.045096039,0.001360656,0.997055543,-0.17294358,-0.05614899,0,0
49196,0.048828125,-0.991210938,0.018554688,0.032850132,-0.015939117,0.062395813,1.000950199,-0.17294358,-0.05614899,0,0
49201,0.047363281,-0.989746094,0.022460938,0.032850132,-0.015939117,0.062395813,0.999484886,-0.17294358,-0.05614899,0,0
49205,0.044433594,-0.991210938,0.022460938,0.002332553,-0.015939117,0.031878234,1.000823387,-0.17294358,-0.05614899,0,0
49210,0.041992188,-0.990234375,0.019042969,-0.028185025,0.045096039,-0.029156922,0.999660376,-0.17294358,-0.05614899,0,0
49214,0.041503906,-0.990722656,0.022949219,-0.028185025,-0.046456695,-0.0596745,1.000214902,-0.08310745,-0.05614899,0,0
49221,0.041992188,-0.988769531,0.020019531,-0.058702603,-0.199044586,0.062395813,0.998204221,-0.08310745,-0.05614899,0,0
49225,0.044433594,-0.991699219,0.018066406,-0.058702603,-0.199044586,0.062395813,1.001224722,-0.08310745,-0.05614899,0,0
49230,0.048828125,-0.991699219,0.019042969,0.002332553,-0.199044586,0.031878234,1.001451234,-0.08310745,-0.05614899,0,0
49234,0.049316406,-0.990234375,0.019042969,0.032850132,-0.199044586,0.062395813,1.000000475,-0.08310745,-0.05614899,0,0
49262,0.046875,-0.98828125,0.020019531,0.002332553,0.045096039,0.001360656,0.997933484,0.28945877,-0.05614899,0,0
49269,0.044921875,-0.986816406,0.020507813,0.002332553,-0.046456695,-0.120709656,0.996376869,0.28945877,-0.05614899,0,0
49273,0.046875,-0.98828125,0.021972656,0.06336771,-0.076974273,-0.090192078,0.997975272,0.28945877,-0.05614899,0,0
49278,0.048339844,-0.989257813,0.020996094,0.032850132,-0.076974273,-0.090192078,0.999008349,0.28945877,-0.05614899,0,0
49283,0.052246094,-0.989257813,0.024414063,0.002332553,-0.015939117,0.001360656,0.999287287,0.28945877,-0.05614899,0,0
49288,0.053710938,-0.993652344,0.022949219,0.032850132,-0.076974273,-0.029156922,1.00375485,-0.23371552,-0.05614899,0,0
49294,0.052734375,-0.986816406,0.021484375,0.06336771,0.075613617,0.001360656,0.996787047,-0.23371552,-0.05614899,0,0
49299,0.05078125,-0.993164063,0.018554688,0.093885288,-0.015939117,-0.120709656,1.003015687,-0.23371552,-0.05614899,0,0
49303,0.053222656,-0.991210938,0.022460938,0.002332553,0.014578461,-0.029156922,1.00125935,-0.23371552,-0.05614899,0,0
49308,0.053222656,-0.986816406,0.019042969,0.002332553,0.045096039,-0.029156922,0.996762967,-0.23371552,-0.05614899,0,0
