deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,count,isOn
7412,0.015625,0.034667969,1.197753906,-1.190185547,0.946044922,11.23046875,175.6213837,175.7201843,0,1
7417,0.018066406,0.02734375,1.197265625,-1.251220703,1.129150391,10.71166992,175.6213837,175.7201843,0,1
7422,0.018066406,0.026855469,1.197265625,-1.098632813,1.281738281,10.16235352,175.6213837,175.7201843,0,1
7427,0.017578125,0.029296875,1.197265625,-0.915527344,1.495361328,9.399414063,175.6213837,175.7201843,0,1
7433,0.012695313,0.0390625,1.194824219,-0.732421875,1.46484375,8.728027344,175.6213837,175.7201843,0,1
7438,0.00390625,0.050292969,1.196289063,-0.732421875,1.525878906,8.148193359,175.6213837,175.7201843,0,1
7443,0.000488281,0.058105469,1.197753906,-0.854492188,1.586914063,7.690429688,175.7984161,175.7984161,0,1
7448,-0.003417969,0.065429688,1.196289063,-1.007080078,1.647949219,7.171630859,175.8618317,175.8618317,0,1
7453,-0.004882813,0.06640625,1.198242188,-1.281738281,1.556396484,6.500244141,175.8618317,175.8618317,0,1
7458,-0.009277344,0.065917969,1.1953125,-1.556396484,1.586914063,6.408691406,175.8618317,175.8618317,0,1
7463,-0.013671875,0.069824219,1.1953125,-1.678466797,1.586914063,6.530761719,175.8618317,175.8618317,0,1
7468,-0.015625,0.071777344,1.194824219,-1.800537109,1.495361328,6.927490234,175.8618317,175.8618317,0,1
7476,-0.008789063,0.067382813,1.192382813,-2.014160156,1.46484375,7.568359375,175.8618317,175.8618317,0,1
7481,-0.005371094,0.060058594,1.193847656,-2.166748047,1.46484375,8.30078125,175.9331665,175.9331665,0,1
7486,-0.004394531,0.053710938,1.193359375,-2.319335938,1.46484375,9.216308594,175.9331665,175.9331665,0,1
7491,0.000976563,0.046875,1.194824219,-2.502441406,1.708984375,10.31494141,175.9331665,175.9331665,0,1
7496,0.00390625,0.050292969,1.199707031,-2.502441406,1.953125,11.47460938,175.9331665,175.9331665,0,1
7501,-0.000976563,0.048828125,1.196289063,-2.471923828,1.953125,12.81738281,175.9331665,175.9331665,0,1
7506,-0.006835938,0.047363281,1.197265625,-2.319335938,1.861572266,14.25170898,175.9331665,175.9331665,0,1
7511,-0.012207031,0.045410156,1.196289063,-2.349853516,1.983642578,15.77758789,175.9331665,175.9331665,0,1
7529,-0.012695313,0.033203125,1.200683594,-2.319335938,1.922607422,20.01953125,175.9569397,175.9569397,0,1
7534,-0.012695313,0.033203125,1.200683594,-2.197265625,1.892089844,20.41625977,175.9569397,175.9569397,0,1
7539,-0.019042969,0.022949219,1.196289063,-2.105712891,1.770019531,20.81298828,175.9569397,175.9569397,0,1
7544,-0.018554688,0.018066406,1.196289063,-2.014160156,1.739501953,21.39282227,175.9569397,175.9569397,0,1
7555,-0.016601563,0.017578125,1.198730469,-2.014160156,1.525878906,22.70507813,175.8882446,175.9569397,0,1
7560,-0.013671875,0.007324219,1.200683594,-1.983642578,1.46484375,23.74267578,175.8882446,175.9569397,0,1
7565,-0.015136719,-0.003417969,1.203125,-1.892089844,1.495361328,24.65820313,175.8882446,175.9569397,0,1
7570,-0.012207031,-0.006835938,1.203125,-1.831054688,1.525878906,25.63476563,175.8882446,175.9569397,0,1
7575,-0.006835938,-0.015136719,1.198730469,-1.617431641,1.556396484,26.6418457,175.8882446,175.9569397,0,1
7580,-0.008300781,-0.015625,1.199707031,-1.312255859,1.525878906,27.6184082,175.8882446,175.9569397,0,1
7585,-0.018066406,-0.001953125,1.196289063,-1.007080078,1.617431641,28.50341797,175.7825623,175.9569397,0,1
7590,-0.022949219,0.0078125,1.198730469,-0.640869141,1.739501953,29.35791016,175.6557312,175.9569397,0,1
7596,-0.01171875,0.013671875,1.200683594,-0.457763672,1.739501953,29.81567383,175.6557312,175.9569397,0,1
7601,-0.010742188,0.015136719,1.200195313,-0.427246094,1.495361328,29.78515625,175.6557312,175.9569397,0,1
7606,-0.019042969,0.017089844,1.198242188,-0.305175781,1.312255859,28.99169922,175.6557312,175.9569397,0,1
7611,-0.023925781,0.018066406,1.197265625,-0.244140625,1.220703125,27.70996094,175.6557312,175.9569397,0,1
7618,-0.027832031,0.024902344,1.194335938,0.091552734,1.129150391,24.53613281,175.6557312,175.9569397,0,1
7623,-0.031738281,0.03125,1.196777344,0.183105469,0.946044922,23.25439453,175.9490204,175.9569397,0,1
7628,-0.040527344,0.039550781,1.195800781,0.122070313,0.701904297,22.67456055,175.9490204,175.9569397,0,1
7633,-0.049316406,0.045410156,1.196777344,0,0.457763672,22.27783203,175.9490204,175.9569397,0,1
7651,-0.034667969,0.041992188,1.191894531,-0.152587891,-0.213623047,20.87402344,175.9490204,175.9569397,0,1
7656,-0.026855469,0.041015625,1.195800781,-0.152587891,-0.518798828,20.11108398,176.0071564,176.0071564,0,1
7661,-0.019042969,0.042480469,1.196289063,-0.091552734,-0.610351563,19.13452148,176.0705566,176.0705566,0,1
7666,-0.008300781,0.041015625,1.197265625,-0.183105469,-0.671386719,17.97485352,176.0705566,176.0705566,0,1
7673,-0.000488281,0.040527344,1.197265625,-0.061035156,-0.732421875,15.625,176.0705566,176.0705566,0,1
7678,0.00390625,0.040039063,1.198242188,-0.122070313,-0.732421875,14.80102539,176.0705566,176.0705566,0,1
7683,0.01171875,0.037597656,1.195800781,-0.061035156,-0.610351563,14.06860352,176.0705566,176.0705566,0,1
7688,0.017089844,0.034667969,1.1953125,-0.061035156,-0.610351563,14.06860352,176.0705566,176.0705566,0,1
7696,0.016601563,0.028320313,1.203125,0.061035156,-0.518798828,13.15307617,176.0415039,176.0705566,0,1
7701,0.0078125,0.030761719,1.202636719,0.122070313,-0.427246094,13.06152344,176.0415039,176.0705566,0,1
7706,0.000976563,0.032226563,1.198242188,0.213623047,-0.396728516,13.21411133,176.0415039,176.0705566,0,1
7711,-0.011230469,0.037109375,1.194824219,0.244140625,-0.305175781,13.671875,176.0415039,176.0705566,0,1
7716,-0.018554688,0.041015625,1.196289063,0.183105469,-0.335693359,14.16015625,176.0415039,176.0705566,0,1
7721,-0.028808594,0.045898438,1.196777344,0.152587891,-0.457763672,14.52636719,176.0415039,176.0705566,0,1
7726,-0.032714844,0.043457031,1.197753906,0,-0.579833984,14.73999023,176.0415039,176.0705566,0,1
7731,-0.030273438,0.043457031,1.197265625,-0.061035156,-0.793457031,14.73999023,175.8829651,176.0705566,0,1
7736,-0.026367188,0.040527344,1.200683594,-0.091552734,-0.946044922,14.43481445,175.8829651,176.0705566,0,1
