deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,state
95001,0.146794715,0.003010693,0.989547064,-0.11621822,-0.040588957,-0.30670744,0.150845584,-0.09871668,0
95006,0.146794715,0.001545849,0.983687689,-0.146735798,-0.010071379,-0.428777753,0.150845584,-0.09871668,0
95011,0.14874784,0.001057568,0.987593939,-0.238288533,-0.071106535,-0.459295331,0.150845584,-0.09871668,0
95016,0.151189247,8.10056E-05,0.988570501,-0.146735798,-0.132141691,-0.489812909,0.150845584,-0.09871668,0
95021,0.148259559,-0.002360401,0.98808222,-0.055183064,-0.040588957,-0.489812909,0.150845584,-0.09871668,0
95027,0.150212684,8.10056E-05,0.98808222,-0.085700642,-0.010071379,-0.337225018,0.134992655,-0.09871668,0
95040,0.147771278,-0.001383838,0.989058783,0.036369671,-0.040588957,0.303644122,0.134992655,-0.09871668,0
95045,0.149236122,-0.000407276,0.989058783,0.005852092,-0.010071379,0.486749591,0.134992655,-0.09871668,0
95050,0.14874784,-0.000407276,0.987593939,0.066887249,-0.010071379,0.517267169,0.134992655,-0.09871668,0
95057,0.149724403,0.001545849,0.989547064,0.036369671,-0.040588957,0.395196857,0.134992655,-0.09871668,0
95063,0.149236122,0.003010693,0.989058783,-0.024665486,0.020446199,0.212091388,0.134992655,-0.09871668,0
95068,0.147282997,0.001545849,0.990035345,-0.11621822,0.020446199,0.059503497,0.134992655,-0.09871668,0
95073,0.147771278,0.001057568,0.986129095,-0.085700642,-0.040588957,-0.276189862,0.134992655,-0.09871668,0
95091,0.149724403,0.002522412,0.990035345,0.005852092,-0.010071379,-0.764471112,0.134992655,-0.09871668,0
95096,0.149236122,0.001057568,0.988570501,0.036369671,0.020446199,-0.764471112,0.119138774,-0.09871668,0
95110,0.14874784,8.10056E-05,0.991500189,0.036369671,-0.040588957,-0.367742596,0.119138774,-0.09871668,0
