deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,state
7613,0.084960938,0.047363281,1.327636719,-2.563476563,-0.122070313,2.9296875,-117.3909454,-117.1692657,0
7618,0.088378906,0.047363281,1.328125,-2.532958984,-0.122070313,2.899169922,-117.3909454,-117.1692657,0
7623,0.087402344,0.048339844,1.33203125,-2.471923828,-0.152587891,2.960205078,-117.3909454,-117.1692657,0
7647,0.088867188,0.046386719,1.33203125,-2.502441406,-0.152587891,2.807617188,-117.3909454,-117.1692657,0
7652,0.08984375,0.046875,1.33203125,-2.593994141,-0.122070313,2.716064453,-117.3909454,-117.1692657,0
7657,0.088867188,0.048828125,1.330078125,-2.593994141,-0.152587891,2.777099609,-117.3909454,-117.1692657,0
7662,0.08984375,0.049316406,1.330078125,-2.563476563,-0.152587891,2.746582031,-117.3909454,-117.1692657,0
7667,0.092285156,0.048828125,1.329101563,-2.593994141,-0.091552734,2.777099609,-117.2112732,-117.1692657,0
7682,0.091796875,0.050292969,1.331542969,-2.593994141,-0.183105469,2.593994141,-117.2112732,-117.1692657,0
7687,0.092773438,0.049804688,1.330566406,-2.502441406,-0.213623047,2.532958984,-117.2112732,-117.1692657,0
7692,0.089355469,0.046875,1.328613281,-2.44140625,-0.213623047,2.593994141,-117.2112732,-117.1692657,0
7697,0.086914063,0.048339844,1.331054688,-2.502441406,-0.152587891,2.563476563,-117.2112732,-117.1692657,0
7702,0.088378906,0.047851563,1.333496094,-2.532958984,-0.122070313,2.471923828,-117.1320038,-117.1692657,0
7716,0.083007813,0.047851563,1.330566406,-2.532958984,-0.061035156,2.502441406,-117.1320038,-117.1692657,0
7721,0.083007813,0.046875,1.334472656,-2.44140625,-0.122070313,2.471923828,-117.1320038,-117.1692657,0
7729,0.084472656,0.048339844,1.33203125,-2.471923828,-0.183105469,2.471923828,-117.1320038,-117.1692657,0
7734,0.088378906,0.048828125,1.328613281,-2.502441406,-0.213623047,2.471923828,-117.1320038,-117.1692657,0
7739,0.088867188,0.046875,1.333007813,-2.502441406,-0.183105469,2.471923828,-117.3698044,-117.1692657,0
7752,0.087890625,0.049804688,1.332519531,-2.532958984,-0.122070313,2.471923828,-117.3698044,-117.1692657,0
7766,0.088867188,0.05078125,1.333007813,-2.502441406,-0.152587891,2.593994141,-117.3698044,-117.1692657,0
7771,0.090820313,0.051757813,1.333007813,-2.44140625,-0.213623047,2.716064453,-117.3698044,-117.1692657,0
7776,0.090820313,0.051757813,1.333007813,-2.44140625,-0.213623047,2.807617188,-117.0474472,-117.1692657,0
7790,0.090332031,0.049316406,1.329589844,-2.502441406,-0.061035156,2.868652344,-117.0474472,-117.1692657,0
7799,0.092285156,0.049804688,1.328613281,-2.532958984,-0.061035156,2.868652344,-117.0474472,-117.1692657,0
7804,0.08984375,0.05078125,1.327636719,-2.563476563,-0.061035156,2.960205078,-117.0474472,-117.1692657,0
7809,0.089355469,0.051269531,1.329589844,-2.563476563,-0.091552734,2.9296875,-116.973465,-117.1692657,0
7823,0.083496094,0.047363281,1.333496094,-2.532958984,-0.122070313,2.899169922,-117.1055756,-117.1692657,0
7841,0.084960938,0.050292969,1.333007813,-2.502441406,-0.152587891,2.9296875,-117.1055756,-117.1692657,0
7846,0.086425781,0.05078125,1.330078125,-2.502441406,-0.183105469,2.777099609,-117.1425705,-117.1692657,0
7861,0.0859375,0.050292969,1.331054688,-2.593994141,-0.213623047,2.807617188,-117.1425705,-117.1692657,0
7866,0.088867188,0.049804688,1.331542969,-2.502441406,-0.122070313,2.746582031,-117.1425705,-117.1692657,0
7871,0.091308594,0.047363281,1.325195313,-2.471923828,-0.122070313,2.716064453,-117.1425705,-117.1692657,0
7876,0.091796875,0.048339844,1.326660156,-2.593994141,-0.061035156,2.624511719,-117.1425705,-117.1692657,0
7881,0.090820313,0.048828125,1.330078125,-2.532958984,-0.061035156,2.624511719,-117.1531372,-117.1692657,0
7896,0.091308594,0.049804688,1.331054688,-2.624511719,-0.152587891,2.502441406,-117.1531372,-117.1692657,0
7901,0.08984375,0.049804688,1.328125,-2.624511719,-0.152587891,2.44140625,-117.1531372,-117.1692657,0
7906,0.08984375,0.049804688,1.328125,-2.655029297,-0.213623047,2.471923828,-117.1531372,-117.1692657,0
7911,0.088867188,0.052246094,1.327636719,-2.593994141,-0.305175781,2.410888672,-117.1531372,-117.1692657,0
7916,0.088867188,0.052246094,1.329101563,-2.502441406,-0.213623047,2.380371094,-117.1372833,-117.1692657,0
7941,0.083984375,0.050292969,1.332519531,-2.655029297,-0.152587891,2.502441406,-117.3433838,-117.1692657,0
7955,0.084960938,0.052246094,1.333007813,-2.624511719,-0.061035156,2.624511719,-117.2376938,-117.1692657,0
7969,0.088378906,0.053222656,1.333007813,-2.502441406,-0.183105469,2.746582031,-117.2376938,-117.1692657,0
7974,0.088378906,0.051269531,1.332519531,-2.593994141,-0.213623047,2.838134766,-117.2376938,-117.1692657,0
7984,0.089355469,0.052246094,1.329101563,-2.655029297,-0.213623047,2.9296875,-117.2376938,-117.1692657,0
7989,0.090332031,0.051269531,1.328613281,-2.532958984,-0.244140625,2.9296875,-117.4966354,-117.1692657,0
8002,0.091796875,0.050292969,1.33203125,-2.655029297,-0.122070313,2.960205078,-117.4966354,-117.1692657,0
8007,0.090332031,0.050292969,1.329589844,-2.685546875,-0.183105469,2.960205078,-117.4966354,-117.1692657,0
8012,0.088378906,0.047363281,1.329589844,-2.624511719,-0.213623047,2.990722656,-117.4966354,-117.1692657,0
8017,0.091308594,0.049804688,1.33203125,-2.532958984,-0.244140625,2.9296875,-117.4966354,-117.1692657,0
8023,0.090332031,0.047851563,1.331054688,-2.532958984,-0.183105469,2.899169922,-117.4966354,-117.1692657,0
